emotion,browDownLeft,browDownRight,browInnerUp,cheekSquintLeft,cheekSquintRight,eyeBlinkRight,eyeBlinkLeft,eyeSquintRight,eyeSquintLeft,eyeWideLeft,eyeWideRight,jawOpen,mouthSmileLeft,mouthSmileRight
1,0.0428851731,0.0992452726,0.0024865891,0.0000007496,0.0000015387,0.2613745928,0.1912066638,0.4886472225,0.2548014820,0.0049749264,0.0034759024,0.0114403153,0.6184675694,0.6213760376
1,0.0008546500,0.0033918696,0.4604283869,0.0000011010,0.0000013689,0.5534019470,0.3079726696,0.1741078049,0.3454215527,0.0089525161,0.0003099130,0.0151280630,0.0592939183,0.1355436593
1,0.0068933181,0.0059069102,0.0159202795,0.0000007066,0.0000010853,0.0175054874,0.0172100347,0.0276894532,0.2524060309,0.1012198254,0.0266526397,0.0019869115,0.6429937482,0.7040011883
1,0.0180629008,0.0010378382,0.3498753607,0.0000029422,0.0000026058,0.1312239617,0.2693164051,0.3288924098,0.1567972898,0.0043922300,0.0142074972,0.0767336637,0.8805649877,0.8281001449
1,0.1896332651,0.2864656448,0.0087830760,0.0000028830,0.0000008989,0.2664124072,0.1746583432,0.4867881238,0.5999069214,0.0057208440,0.0025874146,0.3529606760,0.9405647516,0.9350419641
1,0.0163892973,0.0170252509,0.0941479653,0.0000024203,0.0000005774,0.0182687789,0.0557784960,0.2406433374,0.5513308048,0.0162623562,0.0229148809,0.4005897939,0.6032862663,0.7685612440
1,0.0320411883,0.0476452708,0.1459587067,0.0000006728,0.0000004079,0.2189655602,0.3191649914,0.3947375119,0.4587923288,0.0079848059,0.0018028625,0.0145749748,0.0282000192,0.0823718607
1,0.0181865785,0.0010785382,0.1704616696,0.0000010709,0.0000008058,0.0045438632,0.0100763412,0.0041595744,0.0539550595,0.1109591797,0.1144386679,0.3580151796,0.0057714623,0.0241387766
1,0.0337933786,0.0533301271,0.1383340359,0.0000013604,0.0000015884,0.0052155149,0.0101920031,0.0505437441,0.1549020261,0.0555354953,0.0529779419,0.0476187505,0.6713522077,0.6442221403
1,0.7159695625,0.7965205908,0.0000102384,0.0000003081,0.0000003708,0.1658054739,0.1602077782,0.6049500704,0.6913829446,0.0033940338,0.0016695323,0.0086681023,0.0046018525,0.0066371467
1,0.0072013689,0.0183503944,0.0456227660,0.0000000396,0.0000000182,0.3602754176,0.2373920232,0.0875517502,0.1416943520,0.0067543234,0.0010444664,0.0000893597,0.0116771664,0.0182408523
1,0.0539971367,0.0239717513,0.0081245126,0.0000017138,0.0000009522,0.2085063159,0.1773644835,0.4182987511,0.6887315512,0.0062216427,0.0030213343,0.0060757198,0.8940063715,0.8814150095
1,0.0677655786,0.0345796123,0.0095318798,0.0000019137,0.0000013620,0.0572353490,0.1346791238,0.2668263018,0.3263121843,0.0069247796,0.0113599859,0.0527413115,0.8707795143,0.7618504763
1,0.0070905210,0.0031579633,0.2874383926,0.0000008836,0.0000000481,0.0591119826,0.0964784324,0.1971198171,0.2768036723,0.0162409674,0.0095658526,0.0004957662,0.0000884641,0.0003532668
1,0.0110844783,0.0090842508,0.0127164079,0.0000037070,0.0000024525,0.0877447277,0.2029035985,0.5698829889,0.4098269939,0.0031333850,0.0104144271,0.0869044214,0.8334263563,0.7743073106
1,0.0001051849,0.0001477845,0.4594824612,0.0000030646,0.0000020270,0.0083262054,0.0105855912,0.0635579228,0.1188607290,0.0839262381,0.0968200043,0.1573330313,0.6112650633,0.6686462760
1,0.0285947025,0.1495965272,0.0279051531,0.0000001223,0.0000000715,0.3267472684,0.1537416875,0.3872098923,0.5945965052,0.0123431198,0.0005793094,0.0146428971,0.0000056308,0.0000060161
1,0.0007004256,0.0065842108,0.3062050939,0.0000020646,0.0000045391,0.0474219285,0.0489186235,0.2646553814,0.2039100379,0.0147808725,0.0171508547,0.0977849960,0.0460195653,0.0067696865
1,0.6730873585,0.7474285960,0.0001006412,0.0000024300,0.0000005401,0.2206683904,0.2118278593,0.6909772158,0.6928704381,0.0033204430,0.0028056391,0.0653462261,0.8356133103,0.8484611511
1,0.1116694435,0.0524638705,0.0148479762,0.0000002488,0.0000001264,0.4728646874,0.5103403330,0.5338459015,0.6102733612,0.0010037773,0.0004367293,0.0082515553,0.5602619648,0.5595366955
1,0.0241712648,0.0252980832,0.0052884887,0.0000002974,0.0000002343,0.0608252995,0.0325823873,0.2238250971,0.2553289831,0.0258187167,0.0078059598,0.0011186218,0.0940102488,0.2721097469
1,0.2269324511,0.1472545862,0.0067462833,0.0000001539,0.0000002658,0.1165575013,0.0599916577,0.2238682956,0.3180558383,0.0130045554,0.0054697799,0.0050257980,0.6296654940,0.5472558737
1,0.0001484187,0.0000384939,0.8792008162,0.0000079053,0.0000064702,0.0077599883,0.0479644239,0.0372276269,0.1243816689,0.0315163024,0.1104788184,0.0184555072,0.6834352016,0.6596025229
1,0.1175272465,0.1285326779,0.0053907204,0.0000011595,0.0000031428,0.1185983866,0.0844813585,0.1660254747,0.3307622671,0.0227360167,0.0108890524,0.0160704646,0.9167040586,0.9372811317
1,0.0018993819,0.0013069173,0.2130984962,0.0000153614,0.0000056486,0.0241181906,0.0445046946,0.1429451704,0.1070413515,0.0168226492,0.0406942964,0.0340699106,0.5549535155,0.4973268211
1,0.4210548401,0.3642415702,0.0009027081,0.0000031299,0.0000007116,0.3361957967,0.4674460590,0.7354972363,0.6262778044,0.0018768598,0.0012462770,0.0451770611,0.8924096823,0.9126017094
1,0.0042607808,0.0027700786,0.0672959015,0.0000019144,0.0000015377,0.0674208477,0.0760512576,0.1613198519,0.5521060228,0.0230614524,0.0107351532,0.0272536371,0.7512162924,0.8355558515
1,0.0121629154,0.0268645175,0.0575444736,0.0000001176,0.0000006381,0.0042093033,0.0031035140,0.0314189978,0.0305510052,0.2053229511,0.1150523648,0.0128529863,0.1233494207,0.1947356015
1,0.0916946828,0.0729250833,0.0094339140,0.0000035647,0.0000022313,0.0716561973,0.1043587774,0.1770993173,0.5813901424,0.0161455907,0.0111533869,0.0207666494,0.8771084547,0.8807957768
1,0.0080803344,0.0118077509,0.1227562129,0.0000002167,0.0000003790,0.1791946590,0.2564683557,0.3453249931,0.3502296805,0.0022450802,0.0022801296,0.0012042479,0.1826750189,0.1164796576
1,0.0684994310,0.0602314025,0.0015562434,0.0000009647,0.0000002127,0.3615795970,0.5787868500,0.4368605614,0.4432307482,0.0007390626,0.0012426482,0.0004939975,0.6376281977,0.7060561180
1,0.0063084792,0.0053129387,0.1561068892,0.0000045446,0.0000037049,0.2946116626,0.3586723506,0.2831984460,0.2079402506,0.0023959889,0.0050990595,0.0159064811,0.9034397006,0.8712297082
1,0.0002009319,0.0074666981,0.4488321245,0.0000006375,0.0000042262,0.0050636055,0.0112016052,0.0272491984,0.0432976261,0.0760563985,0.1029032022,0.0030762295,0.6450675726,0.5935628414
1,0.0011462293,0.0007435877,0.4450998604,0.0000024335,0.0000032581,0.0046437033,0.0115242451,0.0375100486,0.1249018610,0.0580997653,0.1329582781,0.0062879259,0.0001491560,0.0000487747
1,0.2921505570,0.1759375185,0.0035700935,0.0000011008,0.0000017248,0.1319017112,0.1808557808,0.4818864167,0.6166983843,0.0045332061,0.0041433615,0.0763624310,0.7621191144,0.5548878312
1,0.0051033790,0.0425833762,0.0045060837,0.0000013977,0.0000009217,0.0303519014,0.0081648855,0.1155555248,0.3726709485,0.1227372736,0.0110510234,0.2509920597,0.5155248642,0.6008012891
